Id_hecho,VICTIMA,SEXO,EDAD,GRAVEDAD
LC-2019-0004621,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0004622,SIN DATO,FEMENINO,SIN DATO,SIN DATO
LC-2019-0004652,SIN DATO,MASCULINO,28,SIN DATO
LC-2019-0004717,SIN DATO,MASCULINO,45,SIN DATO
LC-2019-0004718,SIN DATO,MASCULINO,51,SIN DATO
LC-2019-0005334,SIN DATO,MASCULINO,33,SIN DATO
LC-2019-0005614,SIN DATO,MASCULINO,43,SIN DATO
LC-2019-0005622,SIN DATO,FEMENINO,64,SIN DATO
LC-2019-0005638,SIN DATO,MASCULINO,36,SIN DATO
LC-2019-0005638,SIN DATO,FEMENINO,36,SIN DATO
LC-2019-0005647,SIN DATO,MASCULINO,45,SIN DATO
LC-2019-0005681,SIN DATO,FEMENINO,SIN DATO,SIN DATO
LC-2019-0005764,SIN DATO,MASCULINO,84,SIN DATO
LC-2019-0005815,SIN DATO,MASCULINO,22,SIN DATO
LC-2019-0005979,SIN DATO,MASCULINO,26,SIN DATO
LC-2019-0654194,SIN DATO,MASCULINO,32,SIN DATO
LC-2019-0006068,SIN DATO,FEMENINO,20,SIN DATO
LC-2019-0006306,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0006547,SIN DATO,MASCULINO,38,SIN DATO
LC-2019-0006638,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0006638,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0006659,SIN DATO,MASCULINO,48,SIN DATO
LC-2019-0006789,SIN DATO,FEMENINO,5,SIN DATO
LC-2019-0006837,SIN DATO,FEMENINO,SIN DATO,SIN DATO
LC-2019-0006857,SIN DATO,FEMENINO,SIN DATO,SIN DATO
LC-2019-0007002,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0007021,SIN DATO,MASCULINO,34,SIN DATO
LC-2019-0007294,SIN DATO,MASCULINO,39,SIN DATO
LC-2019-0007336,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0007536,SIN DATO,FEMENINO,28,SIN DATO
LC-2019-0007634,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0007660,SIN DATO,MASCULINO,23,SIN DATO
LC-2019-0007701,SIN DATO,MASCULINO,34,SIN DATO
LC-2019-0007778,SIN DATO,FEMENINO,56,SIN DATO
LC-2019-0008077,SIN DATO,FEMENINO,44,SIN DATO
LC-2019-0008227,SIN DATO,FEMENINO,26,SIN DATO
LC-2019-0008238,SIN DATO,FEMENINO,69,SIN DATO
LC-2019-0008238,SIN DATO,FEMENINO,69,SIN DATO
LC-2019-0008283,SIN DATO,MASCULINO,26,SIN DATO
LC-2019-0008283,SIN DATO,FEMENINO,26,SIN DATO
LC-2019-0008314,SIN DATO,FEMENINO,55,SIN DATO
LC-2019-0008367,SIN DATO,MASCULINO,46,SIN DATO
LC-2019-0008388,SIN DATO,FEMENINO,SIN DATO,SIN DATO
LC-2019-0008388,SIN DATO,FEMENINO,SIN DATO,SIN DATO
LC-2019-0008388,SIN DATO,FEMENINO,34,SIN DATO
LC-2019-0008467,SIN DATO,MASCULINO,29,SIN DATO
LC-2019-0008493,SIN DATO,FEMENINO,34,SIN DATO
LC-2019-0008496,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0008565,SIN DATO,MASCULINO,34,SIN DATO
LC-2019-0008566,SIN DATO,MASCULINO,26,SIN DATO
LC-2019-0011897,SIN DATO,FEMENINO,38,SIN DATO
LC-2019-0017883,SIN DATO,MASCULINO,53,SIN DATO
LC-2019-0020135,SIN DATO,MASCULINO,23,SIN DATO
LC-2019-0020930,SIN DATO,MASCULINO,28,SIN DATO
LC-2019-0267364,SIN DATO,MASCULINO,41,SIN DATO
LC-2019-0314341,SIN DATO,MASCULINO,56,SIN DATO
LC-2019-0008603,SIN DATO,MASCULINO,43,SIN DATO
LC-2019-0008860,SIN DATO,MASCULINO,67,SIN DATO
LC-2019-0008860,SIN DATO,MASCULINO,67,SIN DATO
LC-2019-0008860,SIN DATO,MASCULINO,40,SIN DATO
LC-2019-0008916,SIN DATO,MASCULINO,33,SIN DATO
LC-2019-0008924,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0008974,SIN DATO,FEMENINO,29,SIN DATO
LC-2019-0009068,SIN DATO,MASCULINO,54,SIN DATO
LC-2019-0009123,SIN DATO,MASCULINO,51,SIN DATO
LC-2019-0009194,SIN DATO,MASCULINO,33,SIN DATO
LC-2019-0009305,SIN DATO,MASCULINO,42,SIN DATO
LC-2019-0009312,SIN DATO,FEMENINO,74,SIN DATO
LC-2019-0009325,SIN DATO,MASCULINO,70,SIN DATO
LC-2019-0009392,SIN DATO,FEMENINO,40,SIN DATO
LC-2019-0009580,SIN DATO,FEMENINO,6,SIN DATO
LC-2019-0009722,SIN DATO,FEMENINO,30,SIN DATO
LC-2019-0025772,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0010031,SIN DATO,MASCULINO,28,SIN DATO
LC-2019-0010621,SIN DATO,FEMENINO,12,SIN DATO
LC-2019-0012840,SIN DATO,FEMENINO,83,SIN DATO
LC-2019-0052387,SIN DATO,MASCULINO,27,SIN DATO
LC-2019-0010050,SIN DATO,MASCULINO,24,SIN DATO
LC-2019-0010105,SIN DATO,MASCULINO,27,SIN DATO
LC-2019-0010145,SIN DATO,FEMENINO,35,SIN DATO
LC-2019-0010228,SIN DATO,MASCULINO,12,SIN DATO
LC-2019-0010301,SIN DATO,MASCULINO,12,SIN DATO
LC-2019-0010436,SIN DATO,MASCULINO,12,SIN DATO
LC-2019-0010436,SIN DATO,MASCULINO,12,SIN DATO
LC-2019-0010649,SIN DATO,MASCULINO,12,SIN DATO
LC-2019-0010661,SIN DATO,MASCULINO,12,SIN DATO
LC-2019-0010730,SIN DATO,FEMENINO,12,SIN DATO
LC-2019-0010814,SIN DATO,MASCULINO,12,SIN DATO
LC-2019-0010884,SIN DATO,MASCULINO,12,SIN DATO
LC-2019-0010884,SIN DATO,FEMENINO,12,SIN DATO
LC-2019-0010983,SIN DATO,FEMENINO,44,SIN DATO
LC-2019-0010983,SIN DATO,FEMENINO,44,SIN DATO
LC-2019-0011004,SIN DATO,MASCULINO,70,SIN DATO
LC-2019-0011053,SIN DATO,MASCULINO,29,SIN DATO
LC-2019-0011092,SIN DATO,MASCULINO,64,SIN DATO
LC-2019-0011335,SIN DATO,MASCULINO,27,SIN DATO
LC-2019-0011431,SIN DATO,MASCULINO,68,SIN DATO
LC-2019-0153972,SIN DATO,MASCULINO,49,SIN DATO
LC-2019-0011575,SIN DATO,MASCULINO,21,SIN DATO
LC-2019-0153972,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0011908,SIN DATO,MASCULINO,15,SIN DATO
LC-2019-0012172,SIN DATO,MASCULINO,22,SIN DATO
LC-2019-0012293,SIN DATO,MASCULINO,22,SIN DATO
LC-2019-0012508,SIN DATO,MASCULINO,22,SIN DATO
LC-2019-0012578,SIN DATO,FEMENINO,74,SIN DATO
LC-2019-0012580,SIN DATO,MASCULINO,38,SIN DATO
LC-2019-0012638,SIN DATO,MASCULINO,34,SIN DATO
LC-2019-0082237,SIN DATO,MASCULINO,31,SIN DATO
LC-2019-0012823,SIN DATO,MASCULINO,19,SIN DATO
LC-2019-0013193,SIN DATO,MASCULINO,27,SIN DATO
LC-2019-0013235,SIN DATO,MASCULINO,45,SIN DATO
LC-2019-0463737,SIN DATO,MASCULINO,30,SIN DATO
LC-2019-0013370,SIN DATO,MASCULINO,30,SIN DATO
LC-2019-0013412,SIN DATO,FEMENINO,9,SIN DATO
LC-2019-0013412,SIN DATO,MASCULINO,9,SIN DATO
LC-2019-0013440,SIN DATO,FEMENINO,49,SIN DATO
LC-2019-0013452,SIN DATO,MASCULINO,39,SIN DATO
LC-2019-0013589,SIN DATO,MASCULINO,75,SIN DATO
LC-2019-0013652,SIN DATO,FEMENINO,35,SIN DATO
LC-2019-0013652,SIN DATO,FEMENINO,35,SIN DATO
LC-2019-0013652,SIN DATO,FEMENINO,2,SIN DATO
LC-2019-0013652,SIN DATO,MASCULINO,26,SIN DATO
LC-2019-0013857,SIN DATO,MASCULINO,13,SIN DATO
LC-2019-0013857,SIN DATO,FEMENINO,13,SIN DATO
LC-2019-0015962,SIN DATO,MASCULINO,6,SIN DATO
LC-2019-0021745,SIN DATO,MASCULINO,75,SIN DATO
LC-2019-0013801,SIN DATO,MASCULINO,39,SIN DATO
LC-2019-0013840,SIN DATO,MASCULINO,22,SIN DATO
LC-2019-0013850,SIN DATO,FEMENINO,29,SIN DATO
LC-2019-0014140,SIN DATO,MASCULINO,9,SIN DATO
LC-2019-0014220,SIN DATO,MASCULINO,32,SIN DATO
LC-2019-0014314,SIN DATO,MASCULINO,42,SIN DATO
LC-2019-0014442,SIN DATO,MASCULINO,83,SIN DATO
LC-2019-0014448,SIN DATO,MASCULINO,62,SIN DATO
LC-2019-0014503,SIN DATO,MASCULINO,62,SIN DATO
LC-2019-0014534,SIN DATO,SIN DATO,18,SIN DATO
LC-2019-0014580,SIN DATO,MASCULINO,18,SIN DATO
LC-2019-0014644,SIN DATO,MASCULINO,29,SIN DATO
LC-2019-0014644,SIN DATO,MASCULINO,29,SIN DATO
LC-2019-0014787,SIN DATO,FEMENINO,30,SIN DATO
LC-2019-0014790,SIN DATO,MASCULINO,30,SIN DATO
LC-2019-0014956,SIN DATO,MASCULINO,32,SIN DATO
LC-2019-0015085,SIN DATO,MASCULINO,41,SIN DATO
LC-2019-0015193,SIN DATO,MASCULINO,64,SIN DATO
LC-2019-0015241,SIN DATO,FEMENINO,64,SIN DATO
LC-2019-0015361,SIN DATO,MASCULINO,33,SIN DATO
LC-2019-0015585,SIN DATO,MASCULINO,31,SIN DATO
LC-2019-0015614,SIN DATO,FEMENINO,31,SIN DATO
LC-2019-0006068,SIN DATO,MASCULINO,20,SIN DATO
LC-2019-0015700,SIN DATO,MASCULINO,34,SIN DATO
LC-2019-0015822,SIN DATO,MASCULINO,5,SIN DATO
LC-2019-0015879,SIN DATO,SIN DATO,6,SIN DATO
LC-2019-0016012,SIN DATO,FEMENINO,17,SIN DATO
LC-2019-0016105,SIN DATO,MASCULINO,40,SIN DATO
LC-2019-0016278,SIN DATO,MASCULINO,40,SIN DATO
LC-2019-0016388,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0016388,SIN DATO,FEMENINO,SIN DATO,SIN DATO
LC-2019-0016581,SIN DATO,MASCULINO,58,SIN DATO
LC-2019-0016613,SIN DATO,MASCULINO,42,SIN DATO
LC-2019-0017068,SIN DATO,MASCULINO,58,SIN DATO
LC-2019-0017068,SIN DATO,FEMENINO,58,SIN DATO
LC-2019-0017068,SIN DATO,FEMENINO,43,SIN DATO
LC-2019-0017068,SIN DATO,FEMENINO,24,SIN DATO
LC-2019-0017182,SIN DATO,MASCULINO,33,SIN DATO
LC-2019-0017186,SIN DATO,MASCULINO,24,SIN DATO
LC-2019-0017460,SIN DATO,MASCULINO,35,SIN DATO
LC-2019-0017504,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0017514,SIN DATO,MASCULINO,70,SIN DATO
LC-2019-0017514,SIN DATO,MASCULINO,70,SIN DATO
LC-2019-0017561,SIN DATO,MASCULINO,38,SIN DATO
LC-2019-0018006,SIN DATO,MASCULINO,24,SIN DATO
LC-2019-0018207,SIN DATO,FEMENINO,33,SIN DATO
LC-2019-0018425,SIN DATO,MASCULINO,38,SIN DATO
LC-2019-0018474,SIN DATO,MASCULINO,58,SIN DATO
LC-2019-0018500,SIN DATO,MASCULINO,34,SIN DATO
LC-2019-0018518,SIN DATO,MASCULINO,41,SIN DATO
LC-2019-0018592,SIN DATO,FEMENINO,SIN DATO,SIN DATO
LC-2019-0018630,SIN DATO,FEMENINO,SIN DATO,SIN DATO
LC-2019-0018751,SIN DATO,MASCULINO,43,SIN DATO
LC-2019-0021352,SIN DATO,MASCULINO,18,SIN DATO
LC-2019-0022439,SIN DATO,MASCULINO,40,SIN DATO
LC-2019-0030754,SIN DATO,MASCULINO,31,SIN DATO
LC-2019-0031883,SIN DATO,FEMENINO,55,SIN DATO
LC-2019-0018873,SIN DATO,MASCULINO,49,SIN DATO
LC-2019-0019243,SIN DATO,MASCULINO,29,SIN DATO
LC-2019-0020257,SIN DATO,FEMENINO,42,SIN DATO
LC-2019-0020260,SIN DATO,MASCULINO,26,SIN DATO
LC-2019-0020420,SIN DATO,SIN DATO,SIN DATO,SIN DATO
LC-2019-0020451,SIN DATO,MASCULINO,54,SIN DATO
LC-2019-0020496,SIN DATO,FEMENINO,62,SIN DATO
LC-2019-0020569,SIN DATO,MASCULINO,24,SIN DATO
LC-2019-0020951,SIN DATO,MASCULINO,12,SIN DATO
LC-2019-0020989,SIN DATO,MASCULINO,33,SIN DATO
LC-2019-0021079,SIN DATO,MASCULINO,34,SIN DATO
LC-2019-0021335,SIN DATO,MASCULINO,39,SIN DATO
LC-2019-0021415,SIN DATO,MASCULINO,31,SIN DATO
LC-2019-0093543,SIN DATO,MASCULINO,36,SIN DATO
LC-2019-0021365,SIN DATO,MASCULINO,42,SIN DATO
LC-2019-0021365,SIN DATO,MASCULINO,42,SIN DATO
LC-2019-0021365,SIN DATO,FEMENINO,28,SIN DATO
LC-2019-0021434,SIN DATO,MASCULINO,24,SIN DATO
LC-2019-0021709,SIN DATO,MASCULINO,60,SIN DATO
LC-2019-0021896,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0021896,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0022026,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0022105,SIN DATO,MASCULINO,41,SIN DATO
LC-2019-0022106,SIN DATO,SIN DATO,SIN DATO,SIN DATO
LC-2019-0022174,SIN DATO,MASCULINO,44,SIN DATO
LC-2019-0022256,SIN DATO,FEMENINO,SIN DATO,SIN DATO
LC-2019-0022273,SIN DATO,MASCULINO,41,SIN DATO
LC-2019-0022275,SIN DATO,FEMENINO,54,SIN DATO
LC-2019-0022298,SIN DATO,FEMENINO,67,SIN DATO
LC-2019-0022348,SIN DATO,FEMENINO,74,SIN DATO
LC-2019-0022492,SIN DATO,FEMENINO,64,SIN DATO
LC-2019-0022559,SIN DATO,MASCULINO,34,SIN DATO
LC-2019-0022606,SIN DATO,FEMENINO,36,SIN DATO
LC-2019-0022650,SIN DATO,FEMENINO,25,SIN DATO
LC-2019-0022670,SIN DATO,FEMENINO,35,SIN DATO
LC-2019-0022774,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0022790,SIN DATO,FEMENINO,43,SIN DATO
LC-2019-0023022,SIN DATO,MASCULINO,30,SIN DATO
LC-2019-0023164,SIN DATO,FEMENINO,58,SIN DATO
LC-2019-0023309,SIN DATO,MASCULINO,41,SIN DATO
LC-2019-0023360,SIN DATO,MASCULINO,26,SIN DATO
LC-2019-0023362,SIN DATO,MASCULINO,42,SIN DATO
LC-2019-0023485,SIN DATO,MASCULINO,22,SIN DATO
LC-2019-0023488,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0023539,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0023555,SIN DATO,MASCULINO,29,SIN DATO
LC-2019-0023599,SIN DATO,FEMENINO,SIN DATO,SIN DATO
LC-2019-0023727,SIN DATO,MASCULINO,36,SIN DATO
LC-2019-0024103,SIN DATO,MASCULINO,45,SIN DATO
LC-2019-0024454,SIN DATO,MASCULINO,23,SIN DATO
LC-2019-0032150,SIN DATO,MASCULINO,25,SIN DATO
LC-2019-0040263,SIN DATO,FEMENINO,SIN DATO,SIN DATO
LC-2019-0687058,SIN DATO,MASCULINO,34,SIN DATO
LC-2019-0688515,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0023692,SIN DATO,FEMENINO,24,SIN DATO
LC-2019-0023692,SIN DATO,MASCULINO,24,SIN DATO
LC-2019-0023777,SIN DATO,MASCULINO,52,SIN DATO
LC-2019-0023860,SIN DATO,MASCULINO,34,SIN DATO
LC-2019-0023860,SIN DATO,MASCULINO,34,SIN DATO
LC-2019-0023868,SIN DATO,MASCULINO,33,SIN DATO
LC-2019-0023906,SIN DATO,FEMENINO,39,SIN DATO
LC-2019-0023906,SIN DATO,MASCULINO,39,SIN DATO
LC-2019-0023906,SIN DATO,FEMENINO,SIN DATO,SIN DATO
LC-2019-0023906,SIN DATO,MASCULINO,27,SIN DATO
LC-2019-0023906,SIN DATO,MASCULINO,31,SIN DATO
LC-2019-0024132,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0024257,SIN DATO,FEMENINO,70,SIN DATO
LC-2019-0024265,SIN DATO,FEMENINO,32,SIN DATO
LC-2019-0024269,SIN DATO,MASCULINO,25,SIN DATO
LC-2019-0024408,SIN DATO,MASCULINO,27,SIN DATO
LC-2019-0024465,SIN DATO,MASCULINO,47,SIN DATO
LC-2019-0024488,SIN DATO,MASCULINO,50,SIN DATO
LC-2019-0024600,SIN DATO,FEMENINO,35,SIN DATO
LC-2019-0024719,SIN DATO,MASCULINO,25,SIN DATO
LC-2019-0024752,SIN DATO,MASCULINO,54,SIN DATO
LC-2019-0024755,SIN DATO,MASCULINO,34,SIN DATO
LC-2019-0024755,SIN DATO,FEMENINO,34,SIN DATO
LC-2019-0024778,SIN DATO,FEMENINO,38,SIN DATO
LC-2019-0025473,SIN DATO,MASCULINO,75,SIN DATO
LC-2019-0033162,SIN DATO,FEMENINO,58,SIN DATO
LC-2019-0267484,SIN DATO,MASCULINO,31,SIN DATO
LC-2019-0757409,SIN DATO,MASCULINO,59,SIN DATO
LC-2019-0024930,SIN DATO,MASCULINO,73,SIN DATO
LC-2019-0025033,SIN DATO,FEMENINO,41,SIN DATO
LC-2019-0025067,SIN DATO,MASCULINO,31,SIN DATO
LC-2019-0025088,SIN DATO,MASCULINO,42,SIN DATO
LC-2019-0025109,SIN DATO,MASCULINO,45,SIN DATO
LC-2019-0025109,SIN DATO,FEMENINO,45,SIN DATO
LC-2019-0025134,SIN DATO,FEMENINO,33,SIN DATO
LC-2019-0025154,SIN DATO,FEMENINO,28,SIN DATO
LC-2019-0025411,SIN DATO,FEMENINO,33,SIN DATO
LC-2019-0025411,SIN DATO,MASCULINO,33,SIN DATO
LC-2019-0025411,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0642028,SIN DATO,MASCULINO,20,SIN DATO
LC-2019-0025428,SIN DATO,FEMENINO,41,SIN DATO
LC-2019-0025428,SIN DATO,FEMENINO,41,SIN DATO
LC-2019-0025548,SIN DATO,MASCULINO,21,SIN DATO
LC-2019-0025548,SIN DATO,MASCULINO,21,SIN DATO
LC-2019-0378357,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0025730,SIN DATO,MASCULINO,64,SIN DATO
LC-2019-0025730,SIN DATO,MASCULINO,64,SIN DATO
LC-2019-0052617,SIN DATO,MASCULINO,36,SIN DATO
LC-2019-0052617,SIN DATO,FEMENINO,36,SIN DATO
LC-2019-0025021,SIN DATO,MASCULINO,74,SIN DATO
LC-2019-0025831,SIN DATO,MASCULINO,21,SIN DATO
LC-2019-0025831,SIN DATO,FEMENINO,21,SIN DATO
LC-2019-0025841,SIN DATO,FEMENINO,48,SIN DATO
LC-2019-0025841,SIN DATO,FEMENINO,48,SIN DATO
LC-2019-0026116,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0026619,SIN DATO,MASCULINO,29,SIN DATO
LC-2019-0026635,SIN DATO,FEMENINO,20,SIN DATO
LC-2019-0026635,SIN DATO,MASCULINO,20,SIN DATO
LC-2019-0027065,SIN DATO,MASCULINO,32,SIN DATO
LC-2019-0027083,SIN DATO,MASCULINO,40,SIN DATO
LC-2019-0027156,SIN DATO,MASCULINO,40,SIN DATO
LC-2019-0027204,SIN DATO,FEMENINO,SIN DATO,SIN DATO
LC-2019-0027208,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0027290,SIN DATO,MASCULINO,34,SIN DATO
LC-2019-0027336,SIN DATO,MASCULINO,60,SIN DATO
LC-2019-0027551,SIN DATO,SIN DATO,SIN DATO,SIN DATO
LC-2019-0027620,SIN DATO,FEMENINO,SIN DATO,SIN DATO
LC-2019-0027679,SIN DATO,FEMENINO,SIN DATO,SIN DATO
LC-2019-0027748,SIN DATO,MASCULINO,31,SIN DATO
LC-2019-0027769,SIN DATO,FEMENINO,25,SIN DATO
LC-2019-0027969,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0028124,SIN DATO,FEMENINO,SIN DATO,SIN DATO
LC-2019-0028203,SIN DATO,MASCULINO,29,SIN DATO
LC-2019-0028228,SIN DATO,MASCULINO,41,SIN DATO
LC-2019-0028228,SIN DATO,MASCULINO,41,SIN DATO
LC-2019-0028384,SIN DATO,MASCULINO,25,SIN DATO
LC-2019-0028499,SIN DATO,MASCULINO,33,SIN DATO
LC-2019-0028597,SIN DATO,MASCULINO,27,SIN DATO
LC-2019-0028635,SIN DATO,SIN DATO,SIN DATO,SIN DATO
LC-2019-0028641,SIN DATO,MASCULINO,33,SIN DATO
LC-2019-0028794,SIN DATO,MASCULINO,30,SIN DATO
LC-2019-0030752,SIN DATO,FEMENINO,60,SIN DATO
LC-2019-0033421,SIN DATO,MASCULINO,28,SIN DATO
LC-2019-0028657,SIN DATO,FEMENINO,59,SIN DATO
LC-2019-0028657,SIN DATO,MASCULINO,59,SIN DATO
LC-2019-0028657,SIN DATO,MASCULINO,32,SIN DATO
LC-2019-0028702,SIN DATO,MASCULINO,18,SIN DATO
LC-2019-0028702,SIN DATO,MASCULINO,18,SIN DATO
LC-2019-0028731,SIN DATO,FEMENINO,32,SIN DATO
LC-2019-0304750,SIN DATO,MASCULINO,58,SIN DATO
LC-2019-0028731,SIN DATO,FEMENINO,7,SIN DATO
LC-2019-0304750,SIN DATO,MASCULINO,58,SIN DATO
LC-2019-0028796,SIN DATO,MASCULINO,40,SIN DATO
LC-2019-0029010,SIN DATO,MASCULINO,40,SIN DATO
LC-2019-0029065,SIN DATO,FEMENINO,SIN DATO,SIN DATO
LC-2019-0029065,SIN DATO,FEMENINO,SIN DATO,SIN DATO
LC-2019-0193078,SIN DATO,FEMENINO,62,SIN DATO
LC-2019-0029336,SIN DATO,MASCULINO,67,SIN DATO
LC-2019-0029346,SIN DATO,MASCULINO,44,SIN DATO
LC-2019-0029347,SIN DATO,MASCULINO,62,SIN DATO
LC-2019-0029367,SIN DATO,SIN DATO,SIN DATO,SIN DATO
LC-2019-0029566,SIN DATO,MASCULINO,32,SIN DATO
LC-2019-0030128,SIN DATO,FEMENINO,22,SIN DATO
LC-2019-0030272,SIN DATO,FEMENINO,57,SIN DATO
LC-2019-0030300,SIN DATO,SIN DATO,SIN DATO,SIN DATO
LC-2019-0030352,SIN DATO,MASCULINO,50,SIN DATO
LC-2019-0221536,SIN DATO,FEMENINO,SIN DATO,SIN DATO
LC-2019-0030566,SIN DATO,MASCULINO,63,SIN DATO
LC-2019-0030574,SIN DATO,FEMENINO,SIN DATO,SIN DATO
LC-2019-0030658,SIN DATO,FEMENINO,33,SIN DATO
LC-2019-0030786,SIN DATO,FEMENINO,29,SIN DATO
LC-2019-0030792,SIN DATO,MASCULINO,27,SIN DATO
LC-2019-0030793,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0030858,SIN DATO,SIN DATO,SIN DATO,SIN DATO
LC-2019-0028731,SIN DATO,FEMENINO,32,SIN DATO
LC-2019-0035369,SIN DATO,MASCULINO,40,SIN DATO
LC-2019-0031071,SIN DATO,MASCULINO,41,SIN DATO
LC-2019-0031424,SIN DATO,MASCULINO,26,SIN DATO
LC-2019-0031634,SIN DATO,MASCULINO,39,SIN DATO
LC-2019-0031641,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0032487,SIN DATO,FEMENINO,40,SIN DATO
LC-2019-0032487,SIN DATO,FEMENINO,40,SIN DATO
